year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs
2016,2016Q4,11,N335H,Minor Injury Unit or Other,252,250,0,0
2016,2016Q4,11,N336H,Minor Injury Unit or Other,173,173,0,0
2016,2016Q4,11,N337H,Minor Injury Unit or Other,232,229,0,0
2016,2016Q4,11,N411H,Emergency Department,1910,1857,0,0
2016,2016Q4,11,N431H,Minor Injury Unit or Other,60,60,0,0
2016,2016Q4,11,N432H,Minor Injury Unit or Other,10,10,0,0
2016,2016Q4,11,N433H,Minor Injury Unit or Other,61,61,0,0
2016,2016Q4,11,N451H,Minor Injury Unit or Other,15,15,0,0
2016,2016Q4,11,N494H,Minor Injury Unit or Other,63,63,0,0
2016,2016Q4,11,N683C,Minor Injury Unit or Other,38,38,0,0
2016,2016Q4,11,C206H,Minor Injury Unit or Other,1287,1261,0,0
2016,2016Q4,11,C313H,Emergency Department,2524,2393,4,0
2016,2016Q4,11,C418H,Emergency Department,5536,5070,17,0
2016,2016Q4,11,G107H,Emergency Department,7383,6442,37,0
2016,2016Q4,11,G207H,Minor Injury Unit or Other,1452,1452,0,0
2016,2016Q4,11,G306H,Minor Injury Unit or Other,2487,2487,0,0
2016,2016Q4,11,G405H,Emergency Department,7453,6133,86,0
2016,2016Q4,11,G513H,Emergency Department,5268,5249,0,0
2016,2016Q4,11,G516H,Minor Injury Unit or Other,930,928,0,0
2016,2016Q4,11,C106H,Minor Injury Unit or Other,548,548,0,0
2016,2016Q4,11,C108H,Minor Injury Unit or Other,117,117,0,0
2016,2016Q4,11,C113H,Minor Injury Unit or Other,326,323,0,0
2016,2016Q4,11,C121H,Emergency Department,620,611,0,0
2016,2016Q4,11,C122H,Minor Injury Unit or Other,397,397,0,0
2016,2016Q4,11,H101H,Minor Injury Unit or Other,204,199,0,0
2016,2016Q4,11,H103H,Emergency Department,542,533,1,0
2016,2016Q4,11,H106H,Minor Injury Unit or Other,38,38,0,0
2016,2016Q4,11,H202H,Emergency Department,2485,2330,5,1
2016,2016Q4,11,H208H,Minor Injury Unit or Other,357,357,0,0
2016,2016Q4,11,H210H,Minor Injury Unit or Other,73,73,0,0
2016,2016Q4,11,H212H,Emergency Department,580,547,2,0
2016,2016Q4,11,H214H,Minor Injury Unit or Other,295,295,0,0
2016,2016Q4,11,H215H,Minor Injury Unit or Other,187,187,0,0
2016,2016Q4,11,H217H,Minor Injury Unit or Other,107,107,0,0
2016,2016Q4,11,H219H,Minor Injury Unit or Other,121,121,0,0
2016,2016Q4,11,H224H,Minor Injury Unit or Other,347,341,0,0
2016,2016Q4,11,H227B,Minor Injury Unit or Other,105,105,0,0
2016,2016Q4,11,H227H,Minor Injury Unit or Other,104,103,0,0
2016,2016Q4,11,L106H,Emergency Department,5407,5155,6,0
2016,2016Q4,11,L206H,Minor Injury Unit or Other,76,76,0,0
2016,2016Q4,11,L207H,Minor Injury Unit or Other,74,74,0,0
2016,2016Q4,11,L302H,Emergency Department,4922,4578,23,0
2016,2016Q4,11,L308H,Emergency Department,5372,4667,106,26
2016,2016Q4,11,S108H,Minor Injury Unit or Other,189,189,0,0
2016,2016Q4,11,S116H,Minor Injury Unit or Other,3606,3150,98,34
2016,2016Q4,11,S308H,Emergency Department,4399,4294,6,1
2016,2016Q4,11,S314H,Emergency Department,9528,8999,65,5
2016,2016Q4,11,S319H,Emergency Department,4507,4381,7,0
2016,2016Q4,11,R103H,Emergency Department,433,428,0,0
2016,2016Q4,11,Z102H,Emergency Department,558,547,0,0
2016,2016Q4,11,T101H,Emergency Department,3836,3752,0,0
2016,2016Q4,11,T202H,Emergency Department,1897,1877,0,0
2016,2016Q4,11,T205H,Minor Injury Unit or Other,32,32,0,0
2016,2016Q4,11,T209H,Minor Injury Unit or Other,227,227,0,0
2016,2016Q4,11,T304H,Minor Injury Unit or Other,989,989,0,0
2016,2016Q4,11,T305H,Minor Injury Unit or Other,202,201,0,0
2016,2016Q4,11,T316H,Minor Injury Unit or Other,89,89,0,0
2016,2016Q4,11,T319H,Minor Injury Unit or Other,433,433,0,0
2016,2016Q4,11,T320H,Minor Injury Unit or Other,129,129,0,0
2016,2016Q4,11,T357C,Minor Injury Unit or Other,366,366,0,0
2016,2016Q4,11,W106H,Minor Injury Unit or Other,41,41,0,0
2016,2016Q4,11,W107H,Emergency Department,483,477,0,0
2016,2016Q4,11,W108H,Minor Injury Unit or Other,128,127,0,0
2016,2016Q4,12,A101H,Minor Injury Unit or Other,160,155,0,0
2016,2016Q4,12,A110H,Minor Injury Unit or Other,44,41,0,0
2016,2016Q4,12,A111H,Emergency Department,5691,5282,62,6
2016,2016Q4,12,A210H,Emergency Department,3562,3363,20,0
2016,2016Q4,12,A216H,Minor Injury Unit or Other,68,68,0,0
2016,2016Q4,12,B103H,Minor Injury Unit or Other,8,8,0,0
2016,2016Q4,12,B105H,Minor Injury Unit or Other,58,58,0,0
2016,2016Q4,12,B114H,Minor Injury Unit or Other,16,16,0,0
2016,2016Q4,12,B118H,Minor Injury Unit or Other,37,37,0,0
2016,2016Q4,12,B120H,Emergency Department,2318,2236,1,0
2016,2016Q4,12,Y101H,Minor Injury Unit or Other,20,20,0,0
2016,2016Q4,12,Y106H,Minor Injury Unit or Other,21,21,0,0
2016,2016Q4,12,Y109H,Minor Injury Unit or Other,1,1,0,0
2016,2016Q4,12,Y110H,Minor Injury Unit or Other,9,9,0,0
2016,2016Q4,12,Y144H,Emergency Department,959,920,5,0
2016,2016Q4,12,Y146H,Emergency Department,3003,2775,15,2
2016,2016Q4,12,F704H,Emergency Department,5228,4780,30,1
2016,2016Q4,12,F708H,Minor Injury Unit or Other,96,96,0,0
2016,2016Q4,12,F709H,Minor Injury Unit or Other,204,203,0,0
2016,2016Q4,12,F805H,Minor Injury Unit or Other,1602,1600,1,0
2016,2016Q4,12,V201H,Minor Injury Unit or Other,1020,1019,0,0
2016,2016Q4,12,V217H,Emergency Department,5166,4807,12,2
2016,2016Q4,12,N101H,Emergency Department,4843,4308,32,0
2016,2016Q4,12,N121H,Emergency Department,1244,1215,0,0
2016,2016Q4,12,N151H,Minor Injury Unit or Other,68,68,0,0
2016,2016Q4,12,N331H,Minor Injury Unit or Other,3,3,0,0
2016,2016Q4,12,N332H,Minor Injury Unit or Other,17,17,0,0
2016,2016Q4,12,N333H,Minor Injury Unit or Other,1433,1432,0,0
2016,2016Q4,12,N334H,Minor Injury Unit or Other,718,717,0,0
2016,2016Q4,12,N335H,Minor Injury Unit or Other,241,237,0,0
2016,2016Q4,12,N336H,Minor Injury Unit or Other,145,145,0,0
2016,2016Q4,12,N337H,Minor Injury Unit or Other,229,222,0,0
2016,2016Q4,12,N411H,Emergency Department,2006,1907,4,0
2016,2016Q4,12,N431H,Minor Injury Unit or Other,58,58,0,0
2016,2016Q4,12,N432H,Minor Injury Unit or Other,15,15,0,0
2016,2016Q4,12,N433H,Minor Injury Unit or Other,106,106,0,0
2016,2016Q4,12,N451H,Minor Injury Unit or Other,18,18,0,0
2016,2016Q4,12,N494H,Minor Injury Unit or Other,50,50,0,0
2016,2016Q4,12,N683C,Minor Injury Unit or Other,27,27,0,0
2016,2016Q4,12,C206H,Minor Injury Unit or Other,1241,1200,0,0
2016,2016Q4,12,C313H,Emergency Department,2612,2399,14,1
2016,2016Q4,12,C418H,Emergency Department,5492,4839,41,0
2016,2016Q4,12,G107H,Emergency Department,7453,6026,69,2
2016,2016Q4,12,G207H,Minor Injury Unit or Other,1304,1304,0,0
2016,2016Q4,12,G306H,Minor Injury Unit or Other,2215,2214,0,0
2016,2016Q4,12,G405H,Emergency Department,7854,6486,97,1
2016,2016Q4,12,G513H,Emergency Department,4800,4751,0,0
2016,2016Q4,12,G516H,Minor Injury Unit or Other,626,626,0,0
2016,2016Q4,12,C106H,Minor Injury Unit or Other,552,552,0,0
2016,2016Q4,12,C108H,Minor Injury Unit or Other,82,82,0,0
2016,2016Q4,12,C113H,Minor Injury Unit or Other,334,333,0,0
2016,2016Q4,12,C121H,Emergency Department,632,626,1,0
2016,2016Q4,12,C122H,Minor Injury Unit or Other,455,454,0,0
2016,2016Q4,12,H101H,Minor Injury Unit or Other,181,179,0,0
2016,2016Q4,12,H103H,Emergency Department,607,592,4,0
2016,2016Q4,12,H106H,Minor Injury Unit or Other,55,55,0,0
2016,2016Q4,12,H202H,Emergency Department,2826,2546,15,2
2016,2016Q4,12,H208H,Minor Injury Unit or Other,338,338,0,0
2016,2016Q4,12,H210H,Minor Injury Unit or Other,78,78,0,0
2016,2016Q4,12,H212H,Emergency Department,586,568,0,0
2016,2016Q4,12,H214H,Minor Injury Unit or Other,367,367,0,0
2016,2016Q4,12,H215H,Minor Injury Unit or Other,200,200,0,0
2016,2016Q4,12,H217H,Minor Injury Unit or Other,68,68,0,0
2016,2016Q4,12,H219H,Minor Injury Unit or Other,110,110,0,0
2016,2016Q4,12,H224H,Minor Injury Unit or Other,436,430,0,0
2016,2016Q4,12,H227B,Minor Injury Unit or Other,134,134,0,0
2016,2016Q4,12,H227H,Minor Injury Unit or Other,93,93,0,0
2016,2016Q4,12,L106H,Emergency Department,5582,5332,15,1
2016,2016Q4,12,L206H,Minor Injury Unit or Other,68,68,0,0
2016,2016Q4,12,L207H,Minor Injury Unit or Other,62,62,0,0
2016,2016Q4,12,L302H,Emergency Department,5208,4704,74,20
2016,2016Q4,12,L308H,Emergency Department,5249,4735,50,2
2016,2016Q4,12,S108H,Minor Injury Unit or Other,139,139,0,0
2016,2016Q4,12,S116H,Minor Injury Unit or Other,3614,3127,138,65
2016,2016Q4,12,S308H,Emergency Department,4500,4249,23,2
2016,2016Q4,12,S314H,Emergency Department,9548,8728,161,37
2016,2016Q4,12,S319H,Emergency Department,4279,4175,4,0
2016,2016Q4,12,R103H,Emergency Department,452,441,0,0
2016,2016Q4,12,Z102H,Emergency Department,646,631,0,0
2016,2016Q4,12,T101H,Emergency Department,3875,3751,3,0
2016,2016Q4,12,T202H,Emergency Department,1975,1928,0,0
2016,2016Q4,12,T205H,Minor Injury Unit or Other,28,28,0,0
2016,2016Q4,12,T209H,Minor Injury Unit or Other,262,262,0,0
2016,2016Q4,12,T304H,Minor Injury Unit or Other,1095,1092,0,0
2016,2016Q4,12,T305H,Minor Injury Unit or Other,190,190,0,0
2016,2016Q4,12,T316H,Minor Injury Unit or Other,80,80,0,0
2016,2016Q4,12,T319H,Minor Injury Unit or Other,488,488,0,0
2016,2016Q4,12,T320H,Minor Injury Unit or Other,134,134,0,0
2016,2016Q4,12,T357C,Minor Injury Unit or Other,408,408,0,0
2016,2016Q4,12,W106H,Minor Injury Unit or Other,40,40,0,0
2016,2016Q4,12,W107H,Emergency Department,561,558,0,0
2016,2016Q4,12,W108H,Minor Injury Unit or Other,113,113,0,0
2017,2017Q1,01,A101H,Minor Injury Unit or Other,186,184,0,0
2017,2017Q1,01,A110H,Minor Injury Unit or Other,69,67,0,0
2017,2017Q1,01,A111H,Emergency Department,5488,4856,172,35
2017,2017Q1,01,A210H,Emergency Department,3558,3234,69,25
2017,2017Q1,01,A216H,Minor Injury Unit or Other,71,71,0,0
2017,2017Q1,01,B103H,Minor Injury Unit or Other,8,8,0,0
2017,2017Q1,01,B105H,Minor Injury Unit or Other,56,56,0,0
2017,2017Q1,01,B114H,Minor Injury Unit or Other,5,5,0,0
2017,2017Q1,01,B118H,Minor Injury Unit or Other,36,36,0,0
2017,2017Q1,01,B120H,Emergency Department,2323,2097,14,2
2017,2017Q1,01,Y101H,Minor Injury Unit or Other,17,17,0,0
2017,2017Q1,01,Y106H,Minor Injury Unit or Other,32,32,0,0
2017,2017Q1,01,Y109H,Minor Injury Unit or Other,5,5,0,0
2017,2017Q1,01,Y110H,Minor Injury Unit or Other,4,4,0,0
2017,2017Q1,01,Y144H,Emergency Department,937,876,2,0
2017,2017Q1,01,Y146H,Emergency Department,3048,2749,24,4
2017,2017Q1,01,F704H,Emergency Department,4946,4500,22,0
2017,2017Q1,01,F708H,Minor Injury Unit or Other,100,100,0,0
2017,2017Q1,01,F709H,Minor Injury Unit or Other,216,216,0,0
2017,2017Q1,01,F805H,Minor Injury Unit or Other,1621,1621,0,0
2017,2017Q1,01,V201H,Minor Injury Unit or Other,1084,1084,0,0
2017,2017Q1,01,V217H,Emergency Department,5097,4530,86,3
2017,2017Q1,01,N101H,Emergency Department,4638,4200,23,0
2017,2017Q1,01,N121H,Emergency Department,1182,1172,0,0
2017,2017Q1,01,N151H,Minor Injury Unit or Other,81,81,0,0
2017,2017Q1,01,N331H,Minor Injury Unit or Other,12,12,0,0
2017,2017Q1,01,N332H,Minor Injury Unit or Other,23,23,0,0
2017,2017Q1,01,N333H,Minor Injury Unit or Other,1374,1372,0,0
2017,2017Q1,01,N334H,Minor Injury Unit or Other,738,737,0,0
2017,2017Q1,01,N335H,Minor Injury Unit or Other,255,253,0,0
2017,2017Q1,01,N336H,Minor Injury Unit or Other,180,180,0,0
2017,2017Q1,01,N337H,Minor Injury Unit or Other,241,231,0,0
2017,2017Q1,01,N411H,Emergency Department,1799,1718,6,0
2017,2017Q1,01,N431H,Minor Injury Unit or Other,59,59,0,0
2017,2017Q1,01,N432H,Minor Injury Unit or Other,12,12,0,0
2017,2017Q1,01,N433H,Minor Injury Unit or Other,78,78,0,0
2017,2017Q1,01,N451H,Minor Injury Unit or Other,9,9,0,0
2017,2017Q1,01,N494H,Minor Injury Unit or Other,53,53,0,0
2017,2017Q1,01,N683C,Minor Injury Unit or Other,34,34,0,0
2017,2017Q1,01,C206H,Minor Injury Unit or Other,1337,1300,1,0
2017,2017Q1,01,C313H,Emergency Department,2529,2413,6,0
2017,2017Q1,01,C418H,Emergency Department,5684,4925,36,0
2017,2017Q1,01,G107H,Emergency Department,7429,6458,82,7
2017,2017Q1,01,G207H,Minor Injury Unit or Other,1516,1515,0,0
2017,2017Q1,01,G306H,Minor Injury Unit or Other,2524,2524,0,0
2017,2017Q1,01,G405H,Emergency Department,7823,6165,220,55
2017,2017Q1,01,G513H,Emergency Department,4485,4461,0,0
2017,2017Q1,01,C106H,Minor Injury Unit or Other,567,567,0,0
2017,2017Q1,01,C108H,Minor Injury Unit or Other,102,102,0,0
2017,2017Q1,01,C113H,Minor Injury Unit or Other,362,358,0,0
2017,2017Q1,01,C121H,Emergency Department,611,591,1,1
2017,2017Q1,01,C122H,Minor Injury Unit or Other,442,441,0,0
2017,2017Q1,01,H101H,Minor Injury Unit or Other,171,168,0,0
2017,2017Q1,01,H103H,Emergency Department,570,538,2,1
2017,2017Q1,01,H106H,Minor Injury Unit or Other,51,51,0,0
2017,2017Q1,01,H202H,Emergency Department,2625,2379,7,0
2017,2017Q1,01,H208H,Minor Injury Unit or Other,478,478,0,0
2017,2017Q1,01,H210H,Minor Injury Unit or Other,62,62,0,0
2017,2017Q1,01,H212H,Emergency Department,615,597,0,0
2017,2017Q1,01,H214H,Minor Injury Unit or Other,328,328,0,0
2017,2017Q1,01,H215H,Minor Injury Unit or Other,80,80,0,0
2017,2017Q1,01,H217H,Minor Injury Unit or Other,81,81,0,0
2017,2017Q1,01,H219H,Minor Injury Unit or Other,99,99,0,0
2017,2017Q1,01,H224H,Minor Injury Unit or Other,392,382,0,0
2017,2017Q1,01,H227B,Minor Injury Unit or Other,126,122,0,0
2017,2017Q1,01,H227H,Minor Injury Unit or Other,126,122,0,0
2017,2017Q1,01,L106H,Emergency Department,5566,5326,6,1
2017,2017Q1,01,L206H,Minor Injury Unit or Other,65,65,0,0
2017,2017Q1,01,L207H,Minor Injury Unit or Other,78,78,0,0
2017,2017Q1,01,L302H,Emergency Department,5186,4406,177,54
2017,2017Q1,01,L308H,Emergency Department,5300,4572,132,35
2017,2017Q1,01,S108H,Minor Injury Unit or Other,121,121,0,0
2017,2017Q1,01,S116H,Minor Injury Unit or Other,3763,3191,216,124
2017,2017Q1,01,S308H,Emergency Department,4505,4237,26,1
2017,2017Q1,01,S314H,Emergency Department,9688,9030,147,28
2017,2017Q1,01,S319H,Emergency Department,3670,3605,2,0
2017,2017Q1,01,R103H,Emergency Department,431,422,0,0
2017,2017Q1,01,Z102H,Emergency Department,557,538,0,0
2017,2017Q1,01,T101H,Emergency Department,3737,3650,0,0
2017,2017Q1,01,T202H,Emergency Department,1866,1826,1,0
2017,2017Q1,01,T205H,Minor Injury Unit or Other,25,25,0,0
2017,2017Q1,01,T209H,Minor Injury Unit or Other,224,224,0,0
2017,2017Q1,01,T304H,Minor Injury Unit or Other,1090,1090,0,0
2017,2017Q1,01,T305H,Minor Injury Unit or Other,170,170,0,0
2017,2017Q1,01,T316H,Minor Injury Unit or Other,96,96,0,0
2017,2017Q1,01,T319H,Minor Injury Unit or Other,468,468,0,0
2017,2017Q1,01,T320H,Minor Injury Unit or Other,132,132,0,0
2017,2017Q1,01,T357C,Minor Injury Unit or Other,383,383,0,0
2017,2017Q1,01,W106H,Minor Injury Unit or Other,33,33,0,0
2017,2017Q1,01,W107H,Emergency Department,457,452,0,0
2017,2017Q1,01,W108H,Minor Injury Unit or Other,142,140,0,0
2017,2017Q1,02,A101H,Minor Injury Unit or Other,188,186,0,0
2017,2017Q1,02,A110H,Minor Injury Unit or Other,69,68,0,0
2017,2017Q1,02,A111H,Emergency Department,5104,4676,86,28
2017,2017Q1,02,A210H,Emergency Department,3253,2912,51,6
2017,2017Q1,02,A216H,Minor Injury Unit or Other,51,51,0,0
2017,2017Q1,02,B103H,Minor Injury Unit or Other,13,13,0,0
2017,2017Q1,02,B105H,Minor Injury Unit or Other,52,52,0,0
2017,2017Q1,02,B114H,Minor Injury Unit or Other,5,5,0,0
2017,2017Q1,02,B118H,Minor Injury Unit or Other,28,28,0,0
2017,2017Q1,02,B120H,Emergency Department,2079,1989,2,0
2017,2017Q1,02,Y101H,Minor Injury Unit or Other,11,11,0,0
2017,2017Q1,02,Y106H,Minor Injury Unit or Other,24,24,0,0
2017,2017Q1,02,Y109H,Minor Injury Unit or Other,3,3,0,0
2017,2017Q1,02,Y110H,Minor Injury Unit or Other,6,6,0,0
2017,2017Q1,02,Y144H,Emergency Department,869,812,8,1
2017,2017Q1,02,Y146H,Emergency Department,2635,2394,5,0
2017,2017Q1,02,F704H,Emergency Department,4602,4264,36,2
2017,2017Q1,02,F708H,Minor Injury Unit or Other,116,116,0,0
2017,2017Q1,02,F709H,Minor Injury Unit or Other,234,234,0,0
2017,2017Q1,02,F805H,Minor Injury Unit or Other,1501,1499,0,0
2017,2017Q1,02,V201H,Minor Injury Unit or Other,1028,1028,0,0
2017,2017Q1,02,V217H,Emergency Department,4793,4377,17,0
2017,2017Q1,02,N101H,Emergency Department,4262,3920,7,0
2017,2017Q1,02,N121H,Emergency Department,1161,1142,0,0
2017,2017Q1,02,N151H,Minor Injury Unit or Other,63,63,0,0
2017,2017Q1,02,N331H,Minor Injury Unit or Other,8,8,0,0
2017,2017Q1,02,N332H,Minor Injury Unit or Other,34,34,0,0
2017,2017Q1,02,N333H,Minor Injury Unit or Other,1133,1129,0,0
2017,2017Q1,02,N334H,Minor Injury Unit or Other,588,586,0,0
2017,2017Q1,02,N335H,Minor Injury Unit or Other,208,204,0,0
2017,2017Q1,02,N336H,Minor Injury Unit or Other,177,177,0,0
2017,2017Q1,02,N337H,Minor Injury Unit or Other,214,206,0,0
2017,2017Q1,02,N411H,Emergency Department,1651,1569,4,2
2017,2017Q1,02,N431H,Minor Injury Unit or Other,42,42,0,0
2017,2017Q1,02,N432H,Minor Injury Unit or Other,12,12,0,0
2017,2017Q1,02,N433H,Minor Injury Unit or Other,75,75,0,0
2017,2017Q1,02,N451H,Minor Injury Unit or Other,13,13,0,0
2017,2017Q1,02,N494H,Minor Injury Unit or Other,60,60,0,0
2017,2017Q1,02,N683C,Minor Injury Unit or Other,28,28,0,0
2017,2017Q1,02,C206H,Minor Injury Unit or Other,1248,1208,0,0
2017,2017Q1,02,C313H,Emergency Department,2258,2145,6,0
2017,2017Q1,02,C418H,Emergency Department,5090,4558,35,0
2017,2017Q1,02,G107H,Emergency Department,6953,6021,41,3
2017,2017Q1,02,G207H,Minor Injury Unit or Other,1446,1446,0,0
2017,2017Q1,02,G306H,Minor Injury Unit or Other,2302,2299,0,0
2017,2017Q1,02,G405H,Emergency Department,7391,6040,165,28
2017,2017Q1,02,G513H,Emergency Department,4324,4292,0,0
2017,2017Q1,02,C106H,Minor Injury Unit or Other,497,497,0,0
2017,2017Q1,02,C108H,Minor Injury Unit or Other,80,80,0,0
2017,2017Q1,02,C113H,Minor Injury Unit or Other,306,302,0,0
2017,2017Q1,02,C121H,Emergency Department,488,485,1,1
2017,2017Q1,02,C122H,Minor Injury Unit or Other,313,311,0,0
2017,2017Q1,02,H101H,Minor Injury Unit or Other,169,169,0,0
2017,2017Q1,02,H103H,Emergency Department,501,453,8,3
2017,2017Q1,02,H106H,Minor Injury Unit or Other,48,48,0,0
2017,2017Q1,02,H202H,Emergency Department,2476,2195,16,4
2017,2017Q1,02,H208H,Minor Injury Unit or Other,365,364,0,0
2017,2017Q1,02,H210H,Minor Injury Unit or Other,44,44,0,0
2017,2017Q1,02,H212H,Emergency Department,582,556,0,0
2017,2017Q1,02,H214H,Minor Injury Unit or Other,265,265,0,0
2017,2017Q1,02,H215H,Minor Injury Unit or Other,152,152,0,0
2017,2017Q1,02,H217H,Minor Injury Unit or Other,50,50,0,0
2017,2017Q1,02,H219H,Minor Injury Unit or Other,108,108,0,0
2017,2017Q1,02,H224H,Minor Injury Unit or Other,287,280,0,0
2017,2017Q1,02,H227B,Minor Injury Unit or Other,134,134,0,0
2017,2017Q1,02,H227H,Minor Injury Unit or Other,88,88,0,0
2017,2017Q1,02,L106H,Emergency Department,5084,4899,14,2
2017,2017Q1,02,L206H,Minor Injury Unit or Other,67,67,0,0
2017,2017Q1,02,L207H,Minor Injury Unit or Other,80,80,0,0
2017,2017Q1,02,L302H,Emergency Department,4821,4198,113,48
2017,2017Q1,02,L308H,Emergency Department,5114,4299,132,31
2017,2017Q1,02,S108H,Minor Injury Unit or Other,108,108,0,0
2017,2017Q1,02,S116H,Minor Injury Unit or Other,3511,2931,217,108
2017,2017Q1,02,S308H,Emergency Department,4009,3827,11,0
2017,2017Q1,02,S314H,Emergency Department,8904,8391,129,19
2017,2017Q1,02,S319H,Emergency Department,3531,3450,2,0
2017,2017Q1,02,R103H,Emergency Department,428,402,1,0
2017,2017Q1,02,Z102H,Emergency Department,584,576,0,0
2017,2017Q1,02,T101H,Emergency Department,3510,3450,3,0
2017,2017Q1,02,T202H,Emergency Department,1742,1708,0,0
2017,2017Q1,02,T205H,Minor Injury Unit or Other,26,26,0,0
2017,2017Q1,02,T209H,Minor Injury Unit or Other,237,235,0,0
2017,2017Q1,02,T304H,Minor Injury Unit or Other,940,940,0,0
2017,2017Q1,02,T305H,Minor Injury Unit or Other,163,163,0,0
2017,2017Q1,02,T316H,Minor Injury Unit or Other,82,82,0,0
2017,2017Q1,02,T319H,Minor Injury Unit or Other,419,419,0,0
2017,2017Q1,02,T320H,Minor Injury Unit or Other,139,139,0,0
2017,2017Q1,02,T357C,Minor Injury Unit or Other,335,335,0,0
2017,2017Q1,02,W106H,Minor Injury Unit or Other,34,34,0,0
2017,2017Q1,02,W107H,Emergency Department,481,481,0,0
2017,2017Q1,02,W108H,Minor Injury Unit or Other,85,85,0,0
2017,2017Q1,03,A101H,Minor Injury Unit or Other,213,210,0,0
2017,2017Q1,03,A110H,Minor Injury Unit or Other,58,58,0,0
2017,2017Q1,03,A111H,Emergency Department,5991,5523,73,21
2017,2017Q1,03,A210H,Emergency Department,3833,3665,21,2
2017,2017Q1,03,A216H,Minor Injury Unit or Other,85,85,0,0
2017,2017Q1,03,B103H,Minor Injury Unit or Other,7,7,0,0
2017,2017Q1,03,B105H,Minor Injury Unit or Other,84,84,0,0
2017,2017Q1,03,B114H,Minor Injury Unit or Other,6,6,0,0
2017,2017Q1,03,B118H,Minor Injury Unit or Other,33,33,0,0
2017,2017Q1,03,B120H,Emergency Department,2401,2229,9,3
2017,2017Q1,03,Y101H,Minor Injury Unit or Other,20,20,0,0
2017,2017Q1,03,Y106H,Minor Injury Unit or Other,36,36,0,0
2017,2017Q1,03,Y109H,Minor Injury Unit or Other,1,1,0,0
2017,2017Q1,03,Y110H,Minor Injury Unit or Other,4,4,0,0
2017,2017Q1,03,Y144H,Emergency Department,939,904,5,0
2017,2017Q1,03,Y146H,Emergency Department,3163,2936,5,0
2017,2017Q1,03,F704H,Emergency Department,5324,4958,35,5
2017,2017Q1,03,F708H,Minor Injury Unit or Other,178,178,0,0
2017,2017Q1,03,F709H,Minor Injury Unit or Other,263,263,0,0
2017,2017Q1,03,F805H,Minor Injury Unit or Other,1895,1894,0,0
2017,2017Q1,03,V201H,Minor Injury Unit or Other,1315,1312,0,0
2017,2017Q1,03,V217H,Emergency Department,5493,5302,2,0
2017,2017Q1,03,N101H,Emergency Department,4856,4522,8,0
2017,2017Q1,03,N121H,Emergency Department,1489,1459,0,0
2017,2017Q1,03,N151H,Minor Injury Unit or Other,80,80,0,0
2017,2017Q1,03,N331H,Minor Injury Unit or Other,7,7,0,0
2017,2017Q1,03,N332H,Minor Injury Unit or Other,30,30,0,0
2017,2017Q1,03,N333H,Minor Injury Unit or Other,1325,1322,0,0
2017,2017Q1,03,N334H,Minor Injury Unit or Other,685,683,0,0
2017,2017Q1,03,N335H,Minor Injury Unit or Other,260,256,0,0
2017,2017Q1,03,N336H,Minor Injury Unit or Other,176,176,0,0
2017,2017Q1,03,N337H,Minor Injury Unit or Other,285,280,0,0
2017,2017Q1,03,N411H,Emergency Department,2137,2057,1,0
2017,2017Q1,03,N431H,Minor Injury Unit or Other,59,59,0,0
2017,2017Q1,03,N432H,Minor Injury Unit or Other,18,18,0,0
2017,2017Q1,03,N433H,Minor Injury Unit or Other,93,93,0,0
